word,y
"['东西', '都', '没收', '好']",1
"['不是', '牛皮', '谨慎', '购买']",1
"['图片', '那样', '上', '车上', '掉', '锁', '好', '锁', '配', '插口', '不紧']",1
"['说', '赠品', '发']",1
"['这次', '网购', '心情', '糟透了', '质量', '不好', '有大有小']",1
"['质量', '真', '不怎么', '滴', '穿', '天', '漏']",1
"['买', '两件', '赠品', '为啥', '没有', '赠品']",1
"['质量', '确实', '不', '两个', '月', '肩带', '快断']",1
"['东西', '粘', '不住', '不', '推荐', '买']",1
"['有个', '洞', '不', '说', '好多', '线头']",1
"['买', '两条', '一条', '没', '半个', '月', '裤裆', '破', '洞']",1
"['刚买', '降', '元']",1
"['弹簧', '头', '感觉', '皮带', '不', '建议', '购买']",1
"['还', '没用', '两天', '螺丝', '卡死']",1
"['都', '洗', '好几', '次', '还', '掉', '毛']",1
"['穿', '袜子', '脚臭']",1
"['沾', '不住', '天', '掉', '恼火']",1
"['不太好', '一洗', '成', '一条']",1
"['没', '客服', '东西', '缺', '零件', '找', '不到', '人', '留言', '没人', '回']",1
"['包压', '都', '变形', '太差']",1
"['东西', '发过来', '后', '感觉', '不是', '全新', '发', '旧版本', '不是', '最新']",1
"['超市', '贵', '点', '不买']",1
"['说', '合一', '打开', '一看', '合一']",1
"['买', '码', '为啥', '手里']",1
['坑'],1
"['实话', '不值', '这价', '物品', '虚', '标的']",1
"['差', '不能', '再差', '同等', '价格', '地滩', '货', '都', '这强', '几倍']",1
"['只想', '换货', '浪费', '钱']",1
"['充', '不了', '电地', '坑']",1
"['不是', '逗我']",1
"['很', '闹心', '送错', '色泽', '不', '故意', '本来', '想', '退货', '麻烦', '委屈']",1
"['质检员', '看货', '掉皮', '都', '流出去']",1
"['两天', '坏', '锁', '芯', '都', '掉', '没法用', '气人']",1
"['才', '几天', '蹭', '掉', '漆']",1
"['图', '相差太大']",1
"['东西', '收到', '质量', '还', '价钱', '还', '实惠', '还']",1
"['差', '卡', '不住', '还', '死', '贵死贵']",1
"['质量', '不满意', '价格', '贵', '不符']",1
"['买', '小', '一码', '不过', '质量', '还']",1
"['一分钱', '一分货', '感觉', '没有', '商品', '描述', '那么', '好', '很多', '线头']",1
"['太臭', '书太臭', '京东', '购物', '多年', '这次', '买书', '体验', '极其', '差', '超级', '差', '打开', '带', '宝宝', '看', '下个', '楼', '回来', '满屋', '书', '臭味', '不敢恭维', '感觉', '这是', '坑害', '下一代', '婴幼儿', '童', '国家', '未来', '可恶', '商家']",1
"['收到', '盒坏', '还少', '个头', '晕死']",1
"['搞不懂', '刚', '收到', '货', '开关', '打开']",1
"['物品', '送', '快递', '手里', '迟迟', '不', '送']",1
"['商品', '刚到', '挑丝', '点', '售后', '衣服', '寄', '回去', '不是', '运费', '出', '不是', '商品', '本身']",1
"['没有', '图片', '上', '那么', '多']",1
"['包装', '嫩', '牛', '全是', '油', '请', '一个', '卫生', '解释']",1
"['好好', '好好', '好好', '好好', '好']",1
"['很', '抱歉', '是因为', '价格', '质量', '松掉']",1
"['褶皱', '做工', '没', '办法', '修复', '那种']",1
"['客服', '都', '不', '带理', '人']",1
"['边缘', '锋利', '不平', '会', '划破', '手', '质量差']",1
"['身高', '买', '千万别', '体重', '内']",1
"['随随便便', '更改', '送货', '时间']",1
"['不是', '香港', '出产', '海飞丝']",1
"['不', '买', '感觉', '被骗']",1
"['产品包装', '质量', '太差', '材质', '做工', '材质', '太差']",1
"['价格', '很', '低', '不会', '再', '买', '尴尬', '味道']",1
"['异味', '图片', '不符']",1
"['质量', '很', '买', '降价', '标注', '原价', '纯粹', '乱标']",1
"['产品质量', '没上', '几下', '断']",1
"['送个', '打火机', '没有', '油', '醉']",1
"['家', '纯白色', '京东', '三方', '不', '纯白', '颜色', '都', '有个性', '措', '不及', '防']",1
"['东西', '质量', '刚买', '天', '降价', '办理', '退货', '京东', '商城', '不靠', '谱', '几个', '都', '不']",1
"['两三天', '开胶']",1
"['单层', '玻璃杯', '卖家', '说成', '双层']",1
"['不到', '一个', '礼拜', '杯子', '不', '保温']",1
"['鞋', '还行', '鞋盒', '相当', '次', '送过来', '都', '揉', '烂', '上', '厕所', '估计', '能用', '长', '点心']",1
"['说', '一双', '全是', '洞']",1
"['看着', '衣服', '用料', '醉', '穿', '山寨']",1
"['做工', '差', '杯子', '上', '沿拉嘴', '不', '推荐', '购买']",1
"['粘力', '不强', '不过', '退款']",1
"['长得', '不', '立', '不']",1
"['不', '说']",1
"['的确', '掉', '漆', '没用', '多久']",1
"['商品', '最主要', '掉', '毛', '一抓', '一大', '商品', '廉价', '最起码', '掉', '毛', '确实', '刷', '东西', '反而', '越刷', '越脏', '采纳']",1
"['裤子', '不好', '穿', '不想', '穿', '二次']",1
"['才', '一个月', '出毛病']",1
"['天', '包']",1
"['真', '三四十', '质量', '衣服', '面料', '雨伞', '布', '穿着', '刺挠', '人', '洗过', '没有']",1
"['产品价格', '还', '不稳定', '买', '降价', '还', '不能', '申请', '价格', '保护']",1
"['收到', '袜子', '一双', '坏']",1
"['刚买', '三天', '降价', '申请', '价格', '保护', '赠品', '说事', '....', '赠品', '没有', '价值', '好']",1
"['外观', '颜值', '不错', '材质', '手感', '差', '舒适度', '差', '尺码', '大小', '合适', '做工', '细节', '差', '特色', '差']",1
"['感觉', '没有', '那么', '好']",1
"['两双', '发成', '一双', '醉', '退货', '还', '那么', '慢']",1
